Bus,Date,Hour,LMP,LMP DA,Overgeneration,Shortfall
CopperSheet,2020-01-16,22,23.657742,,0.0,0.0
CopperSheet,2020-01-16,23,24.617429,,0.0,0.0
CopperSheet,2020-01-16,24,19.689677,,0.0,0.0
CopperSheet,2020-01-17,1,19.034194,,0.0,0.0
CopperSheet,2020-01-17,2,18.463399,,0.0,0.0
CopperSheet,2020-01-17,3,0.0,,0.0,0.0
CopperSheet,2020-01-17,4,14.191503,,0.0,0.0
CopperSheet,2020-01-17,5,0.0,,0.0,0.0
CopperSheet,2020-01-17,6,18.573548,,0.0,0.0
CopperSheet,2020-01-17,7,23.07,,0.0,0.0
CopperSheet,2020-01-17,8,33.035161,,0.0,0.0
CopperSheet,2020-01-17,9,14.191503,,0.0,0.0
CopperSheet,2020-01-17,10,0.0,,0.0,0.0
CopperSheet,2020-01-17,11,0.0,,0.0,0.0
CopperSheet,2020-01-17,12,0.0,,0.0,0.0
CopperSheet,2020-01-17,13,0.0,,0.0,0.0
CopperSheet,2020-01-17,14,0.0,,0.0,0.0
CopperSheet,2020-01-17,15,0.0,,0.0,0.0
CopperSheet,2020-01-17,16,0.0,,0.0,0.0
CopperSheet,2020-01-17,17,0.0,,0.0,0.0
CopperSheet,2020-01-17,18,22.968387,,0.0,0.0
CopperSheet,2020-01-17,19,23.657742,,0.0,0.0
CopperSheet,2020-01-17,20,25.3,,0.0,0.0
CopperSheet,2020-01-17,21,23.07,,0.0,0.0
CopperSheet,2020-01-17,22,25.3,,0.0,0.0
CopperSheet,2020-01-17,23,24.617429,,0.0,0.0
CopperSheet,2020-01-17,24,23.07,,0.0,0.0
CopperSheet,2020-01-18,1,21.843871,,0.0,0.0
CopperSheet,2020-01-18,2,20.4,,0.0,0.0
CopperSheet,2020-01-18,3,21.287742,,0.0,0.0
CopperSheet,2020-01-18,4,22.492903,,0.0,0.0
CopperSheet,2020-01-18,5,24.617429,,0.0,0.0
CopperSheet,2020-01-18,6,25.3,,0.0,0.0
CopperSheet,2020-01-18,7,27.27451,,0.0,0.0
CopperSheet,2020-01-18,8,36.123987,,0.0,0.0
CopperSheet,2020-01-18,9,19.429677,,0.0,0.0
CopperSheet,2020-01-18,10,0.0,,0.0,0.0
CopperSheet,2020-01-18,11,0.0,,0.0,0.0
CopperSheet,2020-01-18,12,0.0,,0.0,0.0
CopperSheet,2020-01-18,13,0.0,,0.0,0.0
CopperSheet,2020-01-18,14,0.0,,0.0,0.0
CopperSheet,2020-01-18,15,0.0,,0.0,0.0
CopperSheet,2020-01-18,16,18.463399,,0.0,0.0
CopperSheet,2020-01-18,17,22.968387,,0.0,0.0
CopperSheet,2020-01-18,18,36.123987,,0.0,0.0
CopperSheet,2020-01-18,19,32.462075,,0.0,0.0
CopperSheet,2020-01-18,20,36.123987,,0.0,0.0
CopperSheet,2020-01-18,21,36.123987,,0.0,0.0
CopperSheet,2020-01-18,22,30.530146,,0.0,0.0
CopperSheet,2020-01-18,23,27.274839,,0.0,0.0
CopperSheet,2020-01-18,24,26.324188,,0.0,0.0
CopperSheet,2020-01-19,1,25.3,,0.0,0.0
CopperSheet,2020-01-19,2,25.3,,0.0,0.0
CopperSheet,2020-01-19,3,25.3,,0.0,0.0
CopperSheet,2020-01-19,4,25.3,,0.0,0.0
CopperSheet,2020-01-19,5,25.3,,0.0,0.0
CopperSheet,2020-01-19,6,25.908442,,0.0,0.0
CopperSheet,2020-01-19,7,27.050323,,0.0,0.0
CopperSheet,2020-01-19,8,33.947002,,0.0,0.0
CopperSheet,2020-01-19,9,21.116774,,0.0,0.0
CopperSheet,2020-01-19,10,18.861,,0.0,0.0
CopperSheet,2020-01-19,11,0.0,,0.0,0.0
CopperSheet,2020-01-19,12,0.0,,0.0,0.0
CopperSheet,2020-01-19,13,0.0,,0.0,0.0
CopperSheet,2020-01-19,14,0.0,,0.0,0.0
CopperSheet,2020-01-19,15,0.0,,0.0,0.0
CopperSheet,2020-01-19,16,0.0,,0.0,0.0
CopperSheet,2020-01-19,17,19.685484,,0.0,0.0
CopperSheet,2020-01-19,18,30.530146,,0.0,0.0
CopperSheet,2020-01-19,19,36.123987,,0.0,0.0
CopperSheet,2020-01-19,20,36.123987,,0.0,0.0
CopperSheet,2020-01-19,21,33.947002,,0.0,0.0
CopperSheet,2020-01-19,22,27.050323,,0.0,0.0
CopperSheet,2020-01-19,23,24.617429,,0.0,0.0
CopperSheet,2020-01-19,24,22.492903,,0.0,0.0
CopperSheet,2020-01-20,1,20.419032,,0.0,0.0
CopperSheet,2020-01-20,2,19.689677,,0.0,0.0
